label,cx_int,cy_int,theta_rad,major_std,minor_std,m00,area,cx_geom,cy_geom
91,9.0,238.008547008547,-0.7846018589265675,1.4806324088215819,0.5979232128372731,351.0,11,9.0,238.0
93,318.8576271186441,239.04697336561745,1.480667196709235,1.6515031471585238,1.5436153898669807,2065.0,41,318.8048780487805,239.0487804878049
96,345.1577540106952,240.0,1.5319060559240312,1.0700024357093503,0.8948724462065856,374.0,12,345.1666666666667,240.0
98,150.93235202004385,248.51111807077984,0.1581088421355981,1.8682586893794366,1.7943456428387439,3193.0,57,150.9298245614035,248.47368421052633
101,338.0,259.4923076923077,1.5707963267948966,0.8615384615384613,0.7125253031944256,260.0,8,338.0,259.5
104,53.05741098537124,270.4968258349434,-0.4351340899146552,1.7401726853652595,1.6489108375144717,3623.0,53,53.20754716981132,270.5660377358491
110,289.5314160675211,280.2172553923101,-1.1942613903664276,1.8767521504789408,1.7548296020623486,3199.0,56,289.60714285714283,280.23214285714283
112,98.25802784882069,286.8705598181302,-0.8678212065447763,2.3848779422477824,2.3205370528155,7038.0,97,98.14432989690722,286.87628865979383
114,48.1816519681652,298.42579049257904,-0.25183075789416215,2.493504854670365,2.432052588514574,9298.0,109,48.23853211009175,298.44954128440367
115,218.64703640175338,297.60987230798554,-0.8294724464945245,2.558072366972752,2.517510489063882,10494.0,118,218.5677966101695,297.56779661016947
117,429.996138996139,295.5135135135135,1.5634300712587843,0.8759032523638002,0.7057194807742222,259.0,8,430.0,295.5
120,387.6966914674687,306.50435333227796,0.01435019587841522,2.3448838218045394,2.1680283708356294,6317.0,90,387.8,306.5
123,285.5097728473323,322.86872688853674,-0.016034072753060354,2.1262660418288704,2.028544461366402,3786.0,70,285.5,322.8
124,57.50526315789474,324.9894736842105,-0.9373449373427238,1.2184795634988328,0.7724946579420408,380.0,12,57.5,325.0
125,390.9317593790427,328.59346701164293,-1.240266247284816,1.669647386792035,1.5096660971665732,3092.0,46,390.89130434782606,328.6304347826087
129,369.69470404984423,341.68224299065423,-0.8261904473318297,0.9908759894765156,0.786372788614617,321.0,10,369.7,341.7
135,120.57511600928075,358.6627030162413,-1.0816204693053744,1.7966272495886986,1.6822375076862583,3448.0,54,120.42592592592592,358.64814814814815
138,224.57618377871543,362.99648382559775,-1.2501460145317354,1.800937567013592,1.7113863323822154,4266.0,58,224.5,363.0
140,446.7953907599309,368.56276986183076,0.43794431993067606,8.193647632154791,1.5445507515117531,18528.0,229,446.91266375545854,368.6069868995633
144,324.51792828685257,379.99203187251,-0.03232097743376213,0.8625285441538489,0.7082905704932516,251.0,8,324.5,380.0
145,367.52404268675457,392.0892655367232,-1.0754930163079723,2.2517222938724295,2.185715498199966,7965.0,93,367.64516129032256,392.0752688172043
147,177.7125,391.284375,0.7675970215285413,0.9992776367585681,0.780892959405584,320.0,10,177.7,391.3
149,428.6724448758841,395.04923034253227,-0.2839220029316278,2.504059141156248,2.4182835920409156,7211.0,104,428.6826923076923,395.0576923076923
152,315.4767441860465,400.50387596899225,-0.7655444908252333,1.0701791436014385,0.6143423789188827,258.0,8,315.5,400.5
153,341.53115727002967,403.58226178700954,1.3303706021831916,1.75143579243482,1.7379627855387614,3033.0,52,341.5,403.5
156,158.9488188976378,413.83998875140605,-0.07071700663201816,2.0583681900443644,1.950764520946089,3556.0,66,158.9848484848485,413.8181818181818
158,445.5331190858775,421.69291198000354,-1.4003006285317223,2.59097130832156,2.4653159427018316,5601.0,100,445.44,421.73
159,188.48995983935743,426.5140562248996,-0.8062185803235499,1.0679913091384727,0.6092161965112378,249.0,8,188.5,426.5
160,79.51083591331269,428.0030959752322,1.1125047169190376,1.297942122223178,0.6333502648395536,323.0,10,79.5,428.0
162,212.0078947368421,433.5026315789474,0.6573121684371721,1.2049874710790751,0.7749629161529352,380.0,12,212.0,433.5
164,27.449851370692503,440.1478586370142,0.1658353905067352,2.4162931395632823,2.390287493991645,9083.0,106,27.443396226415093,440.0377358490566
166,363.7464788732394,436.0112676056338,-1.5554708028560567,1.1358445314660846,0.8609482722993582,355.0,11,363.72727272727275,436.0
169,288.6712769379222,444.92023158571885,0.14121880705752743,1.533918254307568,1.4515971132514829,3109.0,43,288.5813953488372,444.9767441860465
172,471.7965032444124,456.66510454217735,0.9436919318081104,2.037378742294089,1.9817005221875323,5548.0,75,471.74666666666667,456.64
174,113.49401340996168,460.6736111111111,-0.8824833513678572,2.234860418659388,2.1008190409344314,4176.0,76,113.5,460.6842105263158
180,367.1808510638298,474.9973404255319,1.540817980816051,1.0880427393349719,0.901501045980907,376.0,12,367.1666666666667,475.0
184,164.50597609561754,484.46215139442234,-0.747583351899666,1.0609520382999167,0.6073948287722137,251.0,8,164.5,484.5
185,459.3957968476357,485.2802101576182,1.3997771989213776,1.8314005081828626,0.8333739173895413,571.0,18,459.3888888888889,485.27777777777777
